id,generico_id,grupo_insumo_id,created_at,updated_at,deleted_at
75,75,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
76,76,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
77,77,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
78,78,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
79,79,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
80,80,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
81,81,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
82,82,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
83,83,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
84,84,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
85,85,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
86,86,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
87,87,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
88,88,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
89,89,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
90,90,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
91,91,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
92,92,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
93,93,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
94,94,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
95,95,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
96,96,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
97,97,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
98,98,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
99,99,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
100,100,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
101,101,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
102,102,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
103,103,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
104,104,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
105,105,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
106,106,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
107,107,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
108,108,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
109,109,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
110,110,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
111,111,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
112,112,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
113,113,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
114,114,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
115,115,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
116,116,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
117,117,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
118,118,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
119,119,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
120,120,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
121,121,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
122,122,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
123,123,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
124,124,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
125,125,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
126,126,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
127,127,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
128,128,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
129,129,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
130,130,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
131,131,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
132,132,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
133,133,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
134,134,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
