"1","SUST QUIM","root","2017-11-01 00:00:00",NULL,NULL
"2","MATERIAL","root","2017-11-01 00:00:00",NULL,NULL
"3","PROD QUIMI","root","2017-11-01 00:00:00",NULL,NULL
"4","CONSUMIBLES","root","2017-11-01 00:00:00",NULL,NULL
