id,clues,almacen_id,mes,anio,presupuesto_id,proveedor_id,causes_autorizado,causes_modificado,causes_comprometido,causes_devengado,causes_disponible,insumos_autorizado,insumos_modificado,insumos_comprometido,insumos_devengado,insumos_disponible,no_causes_autorizado,no_causes_modificado,no_causes_comprometido,no_causes_devengado,no_causes_disponible,material_curacion_autorizado,material_curacion_modificado,material_curacion_comprometido,material_curacion_devengado,material_curacion_disponible,validation,created_at,updated_at,deleted_at
235,CSSSA017411,000129,8,2017,1,3,452968.25,312968.25,226521.20,271639.30,-185192.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,861720.58,741720.58,7358.91,57693.02,676668.65,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
236,CSSSA007540,000118,9,2017,1,1,642827.16,1898090.18,53807.73,406087.15,1438195.30,0.00,0.00,0.00,0.00,0.00,407781.04,776991.37,508085.83,268894.01,11.53,617347.84,585388.60,667470.40,1356112.81,-1438194.61,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
237,CSSSA019954,000145,9,2017,1,1,1469319.22,3111396.54,98079.30,1136617.63,1876699.61,0.00,0.00,0.00,0.00,0.00,932070.95,1380876.04,288919.10,881881.94,210075.00,1411080.77,1371274.14,182669.21,3065296.27,-1876691.34,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
238,CSSSA000832,00015,9,2017,1,1,245794.47,84083.52,0.00,0.00,84083.52,0.00,0.00,0.00,0.00,0.00,155921.11,55008.64,0.00,0.00,55008.64,236052.07,76382.28,0.00,0.00,76382.28,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
239,CSSSA000045,00011,9,2017,1,1,183664.90,56973.61,0.00,0.00,56973.61,0.00,0.00,0.00,0.00,0.00,116508.87,45199.49,0.00,0.00,45199.49,176385.10,76458.54,0.00,0.00,76458.54,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
240,CSSSAHICCOR,00017,9,2017,1,1,20203.14,7273.13,0.00,0.00,7273.13,0.00,0.00,0.00,0.00,0.00,12815.98,4613.75,0.00,0.00,4613.75,19402.36,6984.85,0.00,0.00,6984.85,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
241,CSSSA009162,000120,9,2017,1,1,110198.94,36190.49,0.00,0.00,36190.49,0.00,0.00,0.00,0.00,0.00,69905.32,25165.92,0.00,0.00,25165.92,105831.06,38099.18,0.00,0.00,38099.18,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
242,CSSSAHIBERR,00014,9,2017,1,1,20203.14,7273.13,-6638.93,13538.08,373.98,0.00,0.00,0.00,0.00,0.00,12815.98,4613.75,-6197.85,10808.13,3.47,19402.36,6984.85,-25378.80,32732.10,-368.45,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
243,CSSSA018875,000141,9,2017,1,1,257130.86,129195.98,64032.00,0.00,65163.98,0.00,0.00,0.00,0.00,0.00,163112.42,74733.31,0.00,32597.20,42136.11,246939.13,47458.17,0.00,82942.71,-35484.54,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
244,CSSSA017516,000131,9,2017,1,1,91832.45,26260.39,997.52,0.00,25262.87,0.00,0.00,0.00,0.00,0.00,58254.43,17870.47,11430.86,0.00,6439.61,88192.55,23737.14,34902.05,0.00,-11164.91,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
245,CSSSA000412,00012,9,2017,1,1,64282.72,17488.18,1299.20,0.00,16188.98,0.00,0.00,0.00,0.00,0.00,40778.10,11300.87,8149.44,0.00,3151.43,61734.78,17061.62,23890.55,0.00,-6828.93,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
246,CSSSA017336,000121,9,2017,1,1,1068002.04,2312411.45,2475.00,163504.93,2146431.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2031752.42,1205727.07,0.00,90111.14,1115615.93,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
247,CSSSA017365,000124,9,2017,1,1,314182.86,159182.86,566878.28,149.05,-407844.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,597697.15,407697.15,0.00,0.00,407697.15,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
248,CSSSA018776,000138,9,2017,1,2,826492.06,85698.69,-100109.32,169086.57,16721.44,0.00,0.00,0.00,0.00,0.00,524289.91,-264989.55,-7993.60,10993.60,-267989.55,793732.93,-613437.49,-46540.36,525684.19,-1092581.32,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
249,CSSSA001030,00016,9,2017,1,2,734659.61,234713.88,0.00,215835.99,18877.89,0.00,0.00,0.00,0.00,0.00,466035.47,317548.96,0.00,50570.77,266978.19,705540.38,701400.96,0.00,42987.38,658413.58,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
250,CSSSA018781,000139,9,2017,1,2,155900.81,52018.05,0.00,0.00,52018.05,0.00,0.00,0.00,0.00,0.00,98896.56,34659.96,0.00,0.00,34659.96,149721.47,44945.13,31881.27,65074.42,-52010.56,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
251,CSSSA003265,00019,9,2017,1,2,243302.60,78760.24,61600.00,0.00,17160.24,0.00,0.00,0.00,0.00,0.00,154340.38,52188.92,40625.00,0.00,11563.92,233658.97,72211.15,182725.32,50463.99,-160978.16,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
252,CSSSA017504,000130,9,2017,1,2,64282.72,19655.79,0.00,2935.90,16719.89,0.00,0.00,0.00,0.00,0.00,40778.10,14234.83,0.00,1076.40,13158.43,61734.78,18604.53,-0.01,40646.06,-22041.52,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
253,CSSSA006403,000115,9,2017,1,3,734659.61,314701.60,31199.12,253739.68,29762.80,0.00,0.00,0.00,0.00,0.00,466035.47,140704.92,75208.42,65401.54,94.96,705540.38,503880.76,359275.01,174368.55,-29762.80,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
254,CSSSA002611,00018,9,2017,1,3,183664.90,204944.28,0.00,70042.02,134902.26,0.00,0.00,0.00,0.00,0.00,116508.87,44673.91,0.00,44673.91,0.00,176385.10,90548.50,1898.35,223544.22,-134894.07,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
255,CSSSA007074,000117,9,2017,1,3,183664.90,55267.14,0.00,11213.78,44053.36,0.00,0.00,0.00,0.00,0.00,116508.87,34293.06,0.00,3165.00,31128.06,176385.10,42145.81,0.00,73081.28,-30935.47,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
256,CSSSA018740,000135,9,2017,1,3,128565.43,42634.28,-19881.90,19881.90,42634.28,0.00,0.00,0.00,0.00,0.00,81556.21,26728.76,-889.05,18030.25,9587.56,123469.57,37258.74,-59904.71,116518.68,-19355.23,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
257,CSSSA000453,00013,9,2017,1,3,309204.30,631222.55,68941.35,146011.81,416269.39,0.00,0.00,0.00,0.00,0.00,196145.49,96813.19,-9310.21,46937.21,59186.19,296948.57,426842.00,232526.72,566927.07,-372611.79,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
258,CSSSA017353,000123,9,2017,1,2,642265.59,321132.79,367799.05,193361.61,-240027.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1221837.24,610918.64,255367.44,115521.89,240029.31,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
259,CSSSA017394,000127,9,2017,1,3,671987.07,-254196.51,0.00,480122.14,-734318.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1278378.98,837585.30,-0.01,103266.66,734318.65,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
260,CSSSA017406,000128,9,2017,1,3,170430.11,235579.86,232645.38,396368.49,-393434.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324223.90,688072.01,84129.01,210164.54,393778.46,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
261,JURISMOTO10,000147,9,2017,1,2,260245.15,128113.65,0.00,79667.53,48446.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,495086.80,339520.60,0.00,86597.35,252923.25,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
262,CSSSA005773,000114,9,2017,1,3,550994.71,357865.08,2997.36,179306.01,175561.71,0.00,0.00,0.00,0.00,0.00,349526.60,156181.80,52813.60,92448.44,10919.76,529155.29,517864.07,-192316.92,885691.76,-175510.77,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
263,CSSSA018764,000137,9,2017,1,3,459162.26,262054.35,-311032.16,379371.22,193715.29,0.00,0.00,0.00,0.00,0.00,291272.17,271564.46,-108590.06,150396.98,229757.54,440962.74,139414.24,5673.85,248278.69,-114538.30,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
264,CSSSA019481,000143,9,2017,1,3,260536.59,63854.66,-21086.72,21086.72,63854.66,0.00,0.00,0.00,0.00,0.00,165272.85,52580.59,-1872.00,1872.00,52580.59,250209.87,69708.21,-254090.40,254090.40,69708.21,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
265,CSSSA018752,000136,9,2017,1,3,55099.47,14675.57,0.00,0.00,14675.57,0.00,0.00,0.00,0.00,0.00,34952.66,9790.87,17228.95,0.00,-7438.08,52915.53,13498.41,33552.06,0.00,-20053.65,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
266,CSSSA017726,000133,9,2017,1,3,42092.46,11655.99,-14918.10,14918.10,11655.99,0.00,0.00,0.00,0.00,0.00,26701.59,7937.41,0.00,5938.50,1998.91,40424.07,3805.25,-1590.92,16224.94,-10828.77,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
267,CSSSA018793,000140,9,2017,1,3,25822.77,7836.60,0.00,0.00,7836.60,0.00,0.00,0.00,0.00,0.00,16380.82,5486.76,0.00,0.00,5486.76,24799.25,8090.11,0.00,0.00,8090.11,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
268,CSSSA019476,000110,9,2017,1,3,20203.14,7273.13,0.00,0.00,7273.13,0.00,0.00,0.00,0.00,0.00,12815.98,4613.75,0.00,0.00,4613.75,19402.36,6984.85,0.00,0.00,6984.85,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
269,CSSSAHIROSA,000113,9,2017,1,3,20203.14,7273.13,0.00,0.00,7273.13,0.00,0.00,0.00,0.00,0.00,12815.98,4613.75,0.00,0.00,4613.75,19402.36,6984.85,0.00,0.00,6984.85,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
270,CSSSA019645,000144,9,2017,1,3,178140.54,49927.15,40416.91,0.00,9510.24,0.00,0.00,0.00,0.00,0.00,113004.46,34035.98,17067.81,0.00,16968.17,171079.70,47169.75,56678.88,0.00,-9509.13,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
271,CSSSA004945,000112,9,2017,1,3,183664.90,53471.72,-26979.78,40632.78,39818.72,0.00,0.00,0.00,0.00,0.00,116508.87,35185.97,0.00,0.00,35185.97,176385.10,22349.99,-130087.59,265112.53,-112674.95,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
272,CSSSAHGREFO,000146,9,2017,1,3,183664.90,38030.40,-71979.18,88718.08,21291.50,0.00,0.00,0.00,0.00,0.00,116508.87,21987.63,-11417.80,15839.80,17565.63,176385.10,51976.29,-24364.93,55314.02,21027.20,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
273,CSSSA019242,000142,9,2017,1,3,35855.61,10848.78,323.52,0.00,10525.26,0.00,0.00,0.00,0.00,0.00,22745.21,7644.89,0.00,0.00,7644.89,34434.42,9413.72,13466.63,0.00,-4052.91,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
274,CSSSA017521,000132,9,2017,1,3,35855.61,8881.45,0.00,3846.22,5035.23,0.00,0.00,0.00,0.00,0.00,22745.21,7102.91,0.00,992.00,6110.91,34434.42,10260.04,0.00,12004.41,-1744.37,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
275,CSSSA004595,000111,9,2017,1,3,275497.35,76174.67,-47986.59,72399.33,51761.93,0.00,0.00,0.00,0.00,0.00,174763.30,56063.02,4956.26,29895.63,21211.13,264577.64,31958.47,-222097.87,305696.41,-51640.07,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
276,CSSSA008264,000119,9,2017,1,3,184900.85,50631.05,0.00,0.00,50631.05,0.00,0.00,0.00,0.00,0.00,117292.90,38769.80,0.00,0.00,38769.80,177572.05,47989.93,0.00,0.00,47989.93,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
277,CSSSA006934,000116,9,2017,1,3,64282.72,16385.42,8593.13,3074.87,4717.42,0.00,0.00,0.00,0.00,0.00,40778.10,14002.97,833.30,0.00,13169.67,61734.78,14959.84,23085.17,3044.98,-11170.31,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
278,CSSSA017731,000134,9,2017,1,3,64282.72,18561.77,11325.37,16267.77,-9031.37,0.00,0.00,0.00,0.00,0.00,40778.10,12391.38,9285.83,3096.62,8.93,61734.78,17826.05,6208.74,2570.66,9046.65,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
279,CSSSA017341,000122,9,2017,1,3,833825.73,583125.73,1103485.89,0.00,-520360.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1586258.62,1459281.62,235672.79,0.00,1223608.83,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
280,CSSSA017370,000125,9,2017,1,3,484676.07,204676.07,163674.30,257224.35,-216222.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,922041.11,442541.11,5133.61,58637.27,378770.23,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
281,CSSSA017382,000126,9,2017,1,3,466085.31,260085.31,351815.71,247036.19,-338766.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,886674.29,828674.29,24617.06,8421.60,795635.63,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
282,CSSSA017411,000129,9,2017,1,3,452968.25,312968.25,357382.11,402925.24,-447339.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,861720.58,741720.58,0.00,10683.60,731036.98,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
283,CSSSA007540,000118,10,2017,1,1,642827.16,785297.16,0.00,0.00,785297.16,0.00,0.00,0.00,0.00,0.00,407781.04,456059.30,0.00,0.00,456059.30,617347.84,331008.71,0.00,0.00,331008.71,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
284,CSSSA019954,000145,10,2017,1,1,1469319.22,1619662.28,1134224.92,2389.89,483047.47,0.00,0.00,0.00,0.00,0.00,932070.95,1305485.72,1293104.43,7230.00,5151.29,1411080.77,1271684.33,1520563.48,56738.69,-305617.84,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
285,CSSSA000832,00015,10,2017,1,1,245794.47,84083.52,0.00,0.00,84083.52,0.00,0.00,0.00,0.00,0.00,155921.11,55008.64,0.00,0.00,55008.64,236052.07,76382.28,0.00,0.00,76382.28,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
286,CSSSA000045,00011,10,2017,1,1,183664.90,130355.87,23899.65,0.00,106456.22,0.00,0.00,0.00,0.00,0.00,116508.87,46800.39,35424.02,0.00,11376.37,176385.10,84843.42,191232.70,0.00,-106389.28,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
287,CSSSAHICCOR,00017,10,2017,1,1,20203.14,7273.13,0.00,0.00,7273.13,0.00,0.00,0.00,0.00,0.00,12815.98,4613.75,0.00,0.00,4613.75,19402.36,6984.85,0.00,0.00,6984.85,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
288,CSSSA009162,000120,10,2017,1,1,110198.94,36190.49,0.00,0.00,36190.49,0.00,0.00,0.00,0.00,0.00,69905.32,25165.92,0.00,0.00,25165.92,105831.06,38099.18,0.00,0.00,38099.18,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
289,CSSSAHIBERR,00014,10,2017,1,1,20203.14,7273.13,0.00,0.00,7273.13,0.00,0.00,0.00,0.00,0.00,12815.98,4613.75,0.00,0.00,4613.75,19402.36,6984.85,0.00,0.00,6984.85,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
290,CSSSA018875,000141,10,2017,1,1,257130.86,76522.30,357.03,0.00,76165.27,0.00,0.00,0.00,0.00,0.00,163112.42,51425.86,51156.97,0.00,268.89,246939.13,47458.17,123606.56,0.00,-76148.39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
291,CSSSA017516,000131,10,2017,1,1,91832.45,26260.39,0.00,0.00,26260.39,0.00,0.00,0.00,0.00,0.00,58254.43,17870.47,0.00,0.00,17870.47,88192.55,23737.14,0.00,0.00,23737.14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
292,CSSSA000412,00012,10,2017,1,1,64282.72,17488.18,2087.00,0.00,15401.18,0.00,0.00,0.00,0.00,0.00,40778.10,11300.87,11240.66,0.00,60.21,61734.78,17061.62,32440.10,0.00,-15378.48,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
293,CSSSA017336,000121,10,2017,1,1,1068002.04,554408.25,1210881.82,0.00,-656473.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2031752.42,995876.21,294576.59,0.00,701299.62,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
294,CSSSA017365,000124,10,2017,1,1,314182.86,159182.86,909536.03,0.00,-750353.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,597697.15,407697.15,169073.78,0.00,238623.37,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
295,CSSSA018776,000138,10,2017,1,2,826492.06,257623.43,6468.75,87741.00,163413.68,0.00,0.00,0.00,0.00,0.00,524289.91,344802.77,0.00,27722.40,317080.37,793732.93,20366.78,0.00,26420.16,-6053.38,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
296,CSSSA001030,00016,10,2017,1,2,734659.61,234713.88,215120.43,0.00,19593.45,0.00,0.00,0.00,0.00,0.00,466035.47,152986.95,152984.60,0.00,2.35,705540.38,226123.34,245713.01,0.00,-19589.67,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
297,CSSSA018781,000139,10,2017,1,2,155900.81,70790.89,0.00,0.00,70790.89,0.00,0.00,0.00,0.00,0.00,98896.56,36325.86,0.00,0.00,36325.86,149721.47,100027.02,170814.59,0.00,-70787.57,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
298,CSSSA003265,00019,10,2017,1,2,243302.60,78760.24,1593.26,0.00,77166.98,0.00,0.00,0.00,0.00,0.00,154340.38,52188.92,52000.00,0.00,188.92,233658.97,72211.15,149355.85,0.00,-77144.70,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
299,CSSSA017504,000130,10,2017,1,2,64282.72,19655.79,0.00,0.00,19655.79,0.00,0.00,0.00,0.00,0.00,40778.10,14234.83,12938.97,0.00,1295.86,61734.78,18604.53,38193.64,0.00,-19589.11,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
300,CSSSA006403,000115,10,2017,1,3,734659.61,213323.52,326619.04,0.00,-113295.52,0.00,0.00,0.00,0.00,0.00,466035.47,140704.92,139587.52,0.00,1117.40,705540.38,114328.84,0.00,0.00,114328.84,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
301,CSSSA002611,00018,10,2017,1,3,183664.90,43778.94,4810.60,0.00,38968.34,0.00,0.00,0.00,0.00,0.00,116508.87,29515.73,29514.20,0.00,1.53,176385.10,46584.78,85547.16,0.00,-38962.38,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
302,CSSSA007074,000117,10,2017,1,3,183664.90,55758.59,29571.35,0.00,26187.24,0.00,0.00,0.00,0.00,0.00,116508.87,74962.69,42503.72,0.00,32458.97,176385.10,62596.33,88613.86,0.00,-26017.53,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
303,CSSSA018740,000135,10,2017,1,3,128565.43,42634.28,13777.60,0.00,28856.68,0.00,0.00,0.00,0.00,0.00,81556.21,26728.76,25520.00,0.00,1208.76,123469.57,37258.74,65785.85,0.00,-28527.11,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
304,CSSSA000453,00013,10,2017,1,3,309204.30,105411.52,108488.06,0.00,-3076.54,0.00,0.00,0.00,0.00,0.00,196145.49,65129.19,515.04,0.00,64614.15,296948.57,109568.90,9774.74,0.00,99794.16,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
305,CSSSA017353,000123,10,2017,1,2,642265.59,321132.79,1116657.23,0.00,-795524.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1221837.24,610918.64,456007.48,0.00,154911.16,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
306,CSSSA017394,000127,10,2017,1,3,671987.07,466603.39,1899109.37,0.00,-1432505.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1278378.98,907522.08,2517.48,0.00,905004.60,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
307,CSSSA017406,000128,10,2017,1,3,170430.11,269619.81,433079.60,0.00,-163459.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324223.90,265517.60,61573.73,0.00,203943.87,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
308,JURISMOTO10,000147,10,2017,1,2,260245.15,0.00,569671.54,0.00,-569671.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,495086.80,339520.60,237746.91,0.00,101773.69,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
309,CSSSA005773,000114,10,2017,1,3,550994.71,178865.08,110781.73,0.00,68083.35,0.00,0.00,0.00,0.00,0.00,349526.60,116630.78,0.00,0.00,116630.78,529155.29,125838.86,193820.80,0.00,-67981.94,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
310,CSSSA018764,000137,10,2017,1,3,459162.26,99235.37,30420.00,0.00,68815.37,0.00,0.00,0.00,0.00,0.00,291272.17,73168.10,73161.89,0.00,6.21,440962.74,97901.59,166712.02,0.00,-68810.43,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
311,CSSSA019481,000143,10,2017,1,3,260536.59,63854.66,54296.50,0.00,9558.16,0.00,0.00,0.00,0.00,0.00,165272.85,52580.59,164.80,0.00,52415.79,250209.87,69708.21,0.00,0.00,69708.21,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
312,CSSSA018752,000136,10,2017,1,3,55099.47,14675.57,28170.68,0.00,-13495.11,0.00,0.00,0.00,0.00,0.00,34952.66,9790.87,5492.20,0.00,4298.67,52915.53,13498.41,0.00,0.00,13498.41,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
313,CSSSA017726,000133,10,2017,1,3,42092.46,11655.99,0.00,0.00,11655.99,0.00,0.00,0.00,0.00,0.00,26701.59,7937.41,7919.50,0.00,17.91,40424.07,10881.37,22532.76,0.00,-11651.39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
314,CSSSA018793,000140,10,2017,1,3,25822.77,7836.60,0.00,0.00,7836.60,0.00,0.00,0.00,0.00,0.00,16380.82,5486.76,0.00,0.00,5486.76,24799.25,8090.11,0.00,0.00,8090.11,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
315,CSSSA019476,000110,10,2017,1,3,20203.14,7273.13,0.00,0.00,7273.13,0.00,0.00,0.00,0.00,0.00,12815.98,4613.75,0.00,0.00,4613.75,19402.36,6984.85,0.00,0.00,6984.85,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
316,CSSSAHIROSA,000113,10,2017,1,3,20203.14,7273.13,0.00,0.00,7273.13,0.00,0.00,0.00,0.00,0.00,12815.98,4613.75,0.00,0.00,4613.75,19402.36,6984.85,0.00,0.00,6984.85,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
317,CSSSA019645,000144,10,2017,1,3,178140.54,49927.15,65080.55,0.00,-15153.40,0.00,0.00,0.00,0.00,0.00,113004.46,34035.98,34035.98,0.00,0.00,171079.70,47169.75,32001.18,0.00,15168.57,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
318,CSSSA004945,000112,10,2017,1,3,183664.90,69934.84,0.00,0.00,69934.84,0.00,0.00,0.00,0.00,0.00,116508.87,39589.57,0.00,0.00,39589.57,176385.10,22349.99,0.00,0.00,22349.99,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
319,CSSSAHGREFO,000146,10,2017,1,3,183664.90,56387.50,46371.70,0.00,10015.80,0.00,0.00,0.00,0.00,0.00,116508.87,40847.63,38720.80,0.00,2126.83,176385.10,57938.46,28557.81,0.00,29380.65,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
320,CSSSA019242,000142,10,2017,1,3,35855.61,10848.78,17270.19,0.00,-6421.41,0.00,0.00,0.00,0.00,0.00,22745.21,7644.89,4873.64,0.00,2771.25,34434.42,9413.72,2963.32,0.00,6450.40,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
321,CSSSA017521,000132,10,2017,1,3,35855.61,8962.33,4731.22,0.00,4231.11,0.00,0.00,0.00,0.00,0.00,22745.21,8993.47,8969.70,0.00,23.77,34434.42,11506.30,15680.74,0.00,-4174.44,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
322,CSSSA004595,000111,10,2017,1,3,275497.35,76174.67,35898.55,0.00,40276.12,0.00,0.00,0.00,0.00,0.00,174763.30,56063.02,56026.65,0.00,36.37,264577.64,31958.47,72217.83,0.00,-40259.36,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
323,CSSSA008264,000119,10,2017,1,3,184900.85,50631.05,0.00,0.00,50631.05,0.00,0.00,0.00,0.00,0.00,117292.90,38769.80,0.00,0.00,38769.80,177572.05,47989.93,0.00,0.00,47989.93,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
324,CSSSA006934,000116,10,2017,1,3,64282.72,16385.42,11717.28,0.00,4668.14,0.00,0.00,0.00,0.00,0.00,40778.10,14002.97,13296.55,0.00,706.42,61734.78,14959.84,19591.88,0.00,-4632.04,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
325,CSSSA017731,000134,10,2017,1,3,64282.72,18561.77,8176.60,0.00,10385.17,0.00,0.00,0.00,0.00,0.00,40778.10,12391.38,4846.30,0.00,7545.08,61734.78,17826.05,28114.19,0.00,-10288.14,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
326,CSSSA017341,000122,10,2017,1,3,833825.73,583125.73,2733601.29,0.00,-2150475.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1586258.62,1459281.62,521720.07,0.00,937561.55,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
