id,clues,almacen_id,mes,anio,presupuesto_id,proveedor_id,causes_autorizado,causes_modificado,causes_comprometido,causes_devengado,causes_disponible,insumos_autorizado,insumos_modificado,insumos_comprometido,insumos_devengado,insumos_disponible,no_causes_autorizado,no_causes_modificado,no_causes_comprometido,no_causes_devengado,no_causes_disponible,material_curacion_autorizado,material_curacion_modificado,material_curacion_comprometido,material_curacion_devengado,material_curacion_disponible,validation,created_at,updated_at,deleted_at
21,CSSSA018740,000135,4,2017,1,3,128565.43,18115.50,0.00,18115.50,0.00,0.00,0.00,0.00,0.00,0.00,81556.21,0.00,0.00,0.00,0.00,123469.57,82936.49,0.00,82936.49,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
22,CSSSA000453,00013,4,2017,1,3,309204.30,140416.13,0.00,140416.13,0.00,0.00,0.00,0.00,0.00,0.00,196145.49,74691.98,0.00,74691.98,0.00,296948.57,194940.34,0.00,194940.34,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
23,CSSSA017353,000123,4,2017,1,2,642265.59,500193.55,0.00,500193.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1221837.24,24329.60,0.00,24329.60,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
24,CSSSA017394,000127,4,2017,1,3,671987.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1278378.98,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
25,CSSSA017406,000128,4,2017,1,3,170430.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324223.90,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
26,JURISMOTO10,000147,4,2017,1,2,260245.15,206716.57,0.00,206716.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,495086.80,21417.58,0.00,21417.58,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
27,CSSSA005773,000114,4,2017,1,3,550994.71,148000.03,0.00,148000.03,0.00,0.00,0.00,0.00,0.00,0.00,349526.60,23948.10,0.00,23948.10,0.00,529155.29,680717.17,1189.11,679528.06,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
28,CSSSA018764,000137,4,2017,1,3,459162.26,946408.45,0.00,946408.45,0.00,0.00,0.00,0.00,0.00,0.00,291272.17,286539.30,0.00,286539.30,0.00,440962.74,605047.60,0.00,605047.60,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
29,CSSSA019481,000143,4,2017,1,3,260536.59,250238.44,0.00,250238.44,0.00,0.00,0.00,0.00,0.00,0.00,165272.85,0.00,0.00,0.00,0.00,250209.87,40553.43,0.00,40553.43,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
30,CSSSA018752,000136,4,2017,1,3,55099.47,16042.19,0.00,16042.19,0.00,0.00,0.00,0.00,0.00,0.00,34952.66,0.00,0.00,0.00,0.00,52915.53,27906.07,0.00,27906.07,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
31,CSSSA017726,000133,4,2017,1,3,42092.46,15806.47,0.00,15806.47,0.00,0.00,0.00,0.00,0.00,0.00,26701.59,0.00,0.00,0.00,0.00,40424.07,7940.25,0.00,7940.25,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
32,CSSSA018793,000140,4,2017,1,3,25822.77,21666.53,0.00,21666.53,0.00,0.00,0.00,0.00,0.00,0.00,16380.82,0.00,0.00,0.00,0.00,24799.25,2786.76,0.00,2786.76,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
33,CSSSA019476,000110,4,2017,1,3,20203.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12815.98,0.00,0.00,0.00,0.00,19402.36,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
34,CSSSAHIROSA,000113,4,2017,1,3,20203.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12815.98,0.00,0.00,0.00,0.00,19402.36,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
35,CSSSA019645,000144,4,2017,1,3,178140.54,35824.60,0.00,35824.60,0.00,0.00,0.00,0.00,0.00,0.00,113004.46,0.00,0.00,0.00,0.00,171079.70,41553.00,0.00,41553.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
36,CSSSA004945,000112,4,2017,1,3,183664.90,65902.62,0.00,65902.62,0.00,0.00,0.00,0.00,0.00,0.00,116508.87,0.00,0.00,0.00,0.00,176385.10,784339.73,0.00,784339.73,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
37,CSSSAHGREFO,000146,4,2017,1,3,183664.90,76358.61,0.00,76358.61,0.00,0.00,0.00,0.00,0.00,0.00,116508.87,0.00,0.00,0.00,0.00,176385.10,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
