"75","pva","Prueba",NULL,NULL,NULL
"76","tjta","Tarjeta",NULL,NULL,NULL
"77","pla","Placa",NULL,NULL,NULL
"78","vial","Vial",NULL,NULL,NULL
"79","dco","Disco",NULL,NULL,NULL
"80","rllo","Rollo",NULL,NULL,NULL
