id,nombre,created_at,updated_at,deleted_at
1,NORMAL,"2017-11-01 06:00:00","2017-11-01 06:00:00",NULL
2,CONTROLADO,"2017-11-01 06:00:00","2017-11-01 06:00:00",NULL
