id,descripcion,created_at,updated_at,deleted_at
1,"TRABAJO SOCIAL","2018-01-28 09:57:19","2018-01-28 09:57:19",NULL
2,"ASUNTOS JURIDICOS","2018-01-28 09:57:19","2018-01-28 09:57:19",NULL
3,"MINISTERIO PÚBLICO","2018-01-28 09:57:19","2018-01-28 09:57:19",NULL
