id,nombre,usuario_id,created_at,updated_at,deleted_at
1,"SUST QUIM",root,"2017-11-01 06:00:00","2017-11-01 06:00:00",NULL
2,MATERIAL,root,"2017-11-01 06:00:00","2017-11-01 06:00:00",NULL
3,"PROD QUIMI",root,"2017-11-01 06:00:00","2017-11-01 06:00:00",NULL
4,CONSUMIBLES,root,"2017-11-01 06:00:00","2017-11-01 06:00:00",NULL
