id,clave,nombre,jurisdiccion_id,created_at,updated_at,deleted_at
114,114,BENEMÉRITO DE LAS AMÉRICAS,6,NULL,NULL,NULL
115,115,MARAVILLA TENEJAPA,3,NULL,NULL,NULL
116,116,MARQUÉS DE COMILLAS,6,NULL,NULL,NULL
117,117,MONTECRISTO DE GUERRERO,4,NULL,NULL,NULL
118,118,SAN ANDRÉS DURAZNAL,5,NULL,NULL,NULL
119,119,SANTIAGO EL PINAR,2,NULL,NULL,NULL
120,120,BELISARIO DOMINGUEZ,1,NULL,NULL,NULL
121,121,EMILIANO ZAPATA,1,NULL,NULL,NULL
122,122,MEZCALAPA,1,NULL,NULL,NULL
123,123,EL PARRAL,4,NULL,NULL,NULL
