"85","LAB0085","1","50.00","1","109","root",NULL,NULL,NULL
"86","LAB0086","1","1.00","5","106","root",NULL,NULL,NULL
"87","LAB0087","1","100.00","72","102","root",NULL,NULL,NULL
"88","LAB0088","1","1.00","75","97","root",NULL,NULL,NULL
"89","LAB0089","1","1.00","75","97","root",NULL,NULL,NULL
"90","LAB0090","1","1.00","75","97","root",NULL,NULL,NULL
"91","LAB0091","1","1.00","75","97","root",NULL,NULL,NULL
"92","LAB0092","1","1.00","75","97","root",NULL,NULL,NULL
"93","LAB0093","1","1.00","75","97","root",NULL,NULL,NULL
"94","LAB0094","1","1.00","75","97","root",NULL,NULL,NULL
"95","LAB0095","1","1.00","75","97","root",NULL,NULL,NULL
"96","LAB0096","1","1.00","75","97","root",NULL,NULL,NULL
"97","LAB0097","1","1.00","75","97","root",NULL,NULL,NULL
"98","LAB0098","1","1.00","75","97","root",NULL,NULL,NULL
"99","LAB0099","1","1.00","75","97","root",NULL,NULL,NULL
"100","LAB0100","1","1.00","75","97","root",NULL,NULL,NULL
"101","LAB0101","1","1.00","75","97","root",NULL,NULL,NULL
"102","LAB0102","1","1.00","75","97","root",NULL,NULL,NULL
"103","LAB0103","1","1.00","75","97","root",NULL,NULL,NULL
"104","LAB0104","1","1.00","75","97","root",NULL,NULL,NULL
"105","LAB0105","1","1.00","75","97","root",NULL,NULL,NULL
"106","LAB0106","1","1.00","75","97","root",NULL,NULL,NULL
"107","LAB0107","1","1.00","75","97","root",NULL,NULL,NULL
"108","LAB0108","1","1.00","75","97","root",NULL,NULL,NULL
"109","LAB0109","1","1.00","75","97","root",NULL,NULL,NULL
"110","LAB0110","1","1.00","75","97","root",NULL,NULL,NULL
"111","LAB0111","1","1.00","75","97","root",NULL,NULL,NULL
"112","LAB0112","1","1.00","75","97","root",NULL,NULL,NULL
"113","LAB0113","1","1.00","75","97","root",NULL,NULL,NULL
"114","LAB0114","1","1.00","75","97","root",NULL,NULL,NULL
"115","LAB0115","1","1.00","75","97","root",NULL,NULL,NULL
"116","LAB0116","1","1.00","75","97","root",NULL,NULL,NULL
"117","LAB0117","1","1.00","75","97","root",NULL,NULL,NULL
"118","LAB0118","1","1.00","75","97","root",NULL,NULL,NULL
"119","LAB0119","1","1.00","75","97","root",NULL,NULL,NULL
"120","LAB0120","1","100.00","75","114","root",NULL,NULL,NULL
"121","LAB0121","1","100.00","75","114","root",NULL,NULL,NULL
"122","LAB0122","1","100.00","75","114","root",NULL,NULL,NULL
"123","LAB0123","1","100.00","75","114","root",NULL,NULL,NULL
"124","LAB0124","1","100.00","75","114","root",NULL,NULL,NULL
"125","LAB0125","1","1.00","75","97","root",NULL,NULL,NULL
"126","LAB0126","1","200.00","75","114","root",NULL,NULL,NULL
"127","LAB0127","1","50.00","75","114","root",NULL,NULL,NULL
"128","LAB0128","1","50.00","75","114","root",NULL,NULL,NULL
"129","LAB0129","1","1.00","75","97","root",NULL,NULL,NULL
"130","LAB0130","1","1.00","75","97","root",NULL,NULL,NULL
"131","LAB0131","1","1.00","75","97","root",NULL,NULL,NULL
"132","LAB0132","1","1.00","75","97","root",NULL,NULL,NULL
"133","LAB0133","1","1.00","75","97","root",NULL,NULL,NULL
"134","LAB0134","1","1.00","75","97","root",NULL,NULL,NULL
"135","LAB0135","1","1.00","75","97","root",NULL,NULL,NULL
"136","LAB0136","1","1.00","75","97","root",NULL,NULL,NULL
"137","LAB0137","1","1.00","75","97","root",NULL,NULL,NULL
"138","LAB0138","1","1.00","75","97","root",NULL,NULL,NULL
"139","LAB0139","1","1.00","75","97","root",NULL,NULL,NULL
"140","LAB0140","1","30.00","75","114","root",NULL,NULL,NULL
"141","LAB0141","1","10.00","1","102","root",NULL,NULL,NULL
"142","LAB0142","1","1.00","4","115","root",NULL,NULL,NULL
"143","LAB0143","1","1.00","1","97","root",NULL,NULL,NULL
"144","LAB0144","1","1.00","9","97","root",NULL,NULL,NULL
"145","LAB0145","1","1.00","1","106","root",NULL,NULL,NULL
"146","LAB0146","1","1.00","1","106","root",NULL,NULL,NULL
"147","LAB0147","1","1.00","1","109","root",NULL,NULL,NULL
"148","LAB0148","1","1.00","1","97","root",NULL,NULL,NULL
"149","LAB0149","1","1.00","1","106","root",NULL,NULL,NULL
"150","LAB0150","1","1.00","1","106","root",NULL,NULL,NULL
"151","LAB0151","1","1.00","1","106","root",NULL,NULL,NULL
"152","LAB0152","1","1.00","1","106","root",NULL,NULL,NULL
"153","LAB0153","1","1.00","1","106","root",NULL,NULL,NULL
"154","LAB0154","1","1.00","1","106","root",NULL,NULL,NULL
"155","LAB0155","1","1.00","1","106","root",NULL,NULL,NULL
"156","LAB0156","1","1.00","1","106","root",NULL,NULL,NULL
"157","LAB0157","1","1.00","1","106","root",NULL,NULL,NULL
"158","LAB0158","1","1.00","1","106","root",NULL,NULL,NULL
"159","LAB0159","1","1.00","1","106","root",NULL,NULL,NULL
"160","LAB0160","1","1.00","1","106","root",NULL,NULL,NULL
"161","LAB0161","1","1.00","1","106","root",NULL,NULL,NULL
"162","LAB0162","1","48.00","76","102","root",NULL,NULL,NULL
"163","LAB0163","1","48.00","76","102","root",NULL,NULL,NULL
"164","LAB0164","1","50.00","76","102","root",NULL,NULL,NULL
"165","LAB0165","1","50.00","76","102","root",NULL,NULL,NULL
"166","LAB0166","1","1.00","78","97","root",NULL,NULL,NULL
"167","LAB0167","1","1.00","2","106","root",NULL,NULL,NULL
"168","LAB0168","1","96.00","75","114","root",NULL,NULL,NULL
"169","LAB0169","1","96.00","75","114","root",NULL,NULL,NULL
"170","LAB0170","1","50.00","75","114","root",NULL,NULL,NULL
"171","LAB0171","1","96.00","75","114","root",NULL,NULL,NULL
"172","LAB0172","1","1.00","1","114","root",NULL,NULL,NULL
"173","LAB0173","1","1.00","5","106","root",NULL,NULL,NULL
"174","LAB0174","1","1.00","1","106","root",NULL,NULL,NULL
"175","LAB0175","1","1.00","1","106","root",NULL,NULL,NULL
"176","LAB0176","1","1.00","5","106","root",NULL,NULL,NULL
"177","LAB0177","1","1.00","5","106","root",NULL,NULL,NULL
"178","LAB0178","1","1.00","5","106","root",NULL,NULL,NULL
"179","LAB0179","1","1.00","5","106","root",NULL,NULL,NULL
"180","LAB0180","1","1.00","5","106","root",NULL,NULL,NULL
"181","LAB0181","1","1.00","5","106","root",NULL,NULL,NULL
"182","LAB0182","1","1.00","5","106","root",NULL,NULL,NULL
"183","LAB0183","1","1.00","5","106","root",NULL,NULL,NULL
"184","LAB0184","1","1.00","5","106","root",NULL,NULL,NULL
"185","LAB0185","1","192.00","75","114","root",NULL,NULL,NULL
"186","LAB0186","1","300.00","75","114","root",NULL,NULL,NULL
"187","LAB0187","1","96.00","75","114","root",NULL,NULL,NULL
"188","LAB0188","1","96.00","75","114","root",NULL,NULL,NULL
"189","LAB0189","1","96.00","75","114","root",NULL,NULL,NULL
"190","LAB0190","1","96.00","75","114","root",NULL,NULL,NULL
"191","LAB0191","1","25.00","75","114","root",NULL,NULL,NULL
"192","LAB0192","1","96.00","75","114","root",NULL,NULL,NULL
