id,clave,nombre,jurisdiccion,created_at,updated_at,deleted_at
67,67,PANTEPEC,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
68,68,PICHUCALCO,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
69,69,PIJIJIAPAN,8,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
70,70,"EL PORVENIR",10,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
71,71,"VILLA COMALTITLÁN",7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
72,72,"PUEBLO NUEVO SOLISTAHUACÁN",5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
73,73,RAYÓN,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
74,74,REFORMA,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
75,75,"LAS ROSAS",2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
76,76,SABANILLA,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
77,77,"SALTO DE AGUA",6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
78,78,"SAN CRISTÓBAL DE LAS CASAS",2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
79,79,"SAN FERNANDO",1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
80,80,SILTEPEC,10,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
81,81,SIMOJOVEL,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
82,82,SITALÁ,9,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
83,83,SOCOLTENANGO,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
84,84,SOLOSUCHIAPA,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
85,85,SOYALÓ,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
86,86,SUCHIAPA,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
87,87,SUCHIATE,7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
88,88,SUNUAPA,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
89,89,TAPACHULA,7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
90,90,TAPALAPA,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
91,91,TAPILULA,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
92,92,TECPATÁN,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
93,93,TENEJAPA,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
94,94,TEOPISCA,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
96,96,TILA,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
97,97,TONALÁ,8,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
98,98,TOTOLAPA,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
99,99,"LA TRINITARIA",3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
